Common Name,Scientific Name,Coral Type,Family,Difficulty,Lighting,Water Flow,Aggressiveness,Minimum Tank Size (gal),Placement,Growth Rate,Maximum Colony Size (in),Reef Safe,Photosynthetic
Tube Anemone,Cerianthus membranaceus,Anemone,Cerianthidae,Moderate,Low,Low,Low,30,Sand Bed,Slow,12,With Caution,No
Orange Ricordea Yuma,Ricordea yuma,Corallimorph,Ricordeidae,Easy,Moderate,Low,Low,10,Lower,Moderate,6,Yes,Yes
Green Hairy Mushroom,Rhodactis indosinensis,Corallimorph,Discosomatidae,Easy,Low,Low,Low,10,Lower,Fast,12,Yes,Yes
Orange Leptastrea,Leptastrea sp.,SPS,Leptastreidae,Easy,Moderate,Moderate,Low,20,Lower,Slow,12,Yes,Yes
Jack-O-Lantern Leptoseris,Leptoseris sp.,SPS,Agariciidae,Moderate,Low,Low,Low,20,Lower,Slow,18,Yes,Yes
Green Psammocora,Psammocora contigua,SPS,Psammocoridae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,18,Yes,Yes
Branching Porites,Porites cylindrica,SPS,Poritidae,Moderate,High,High,Low,30,Upper,Moderate,24,Yes,Yes
Yellow Porites,Porites lutea,SPS,Poritidae,Moderate,High,High,Low,30,Upper,Slow,36,Yes,Yes
Blue Ridge Coral,Heliopora coerulea,SPS,Helioporidae,Moderate,High,High,Low,50,Upper,Fast,36,Yes,Yes
Green Slipper Coral,Polyphyllia talpina,LPS,Fungiidae,Moderate,Low,Low,Low,30,Sand Bed,Slow,18,Yes,Yes
Tongue Coral,Herpolitha limax,LPS,Fungiidae,Moderate,Low,Low,Low,30,Sand Bed,Slow,24,Yes,Yes
Anchor Coral,Euphyllia paraancora,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Branching Hammer Coral,Fimbriaphyllia parancora,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Octospawn Coral,Fimbriaphyllia paradivisa,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Maze Brain Coral,Platygyra daedalea,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,24,Yes,Yes
Lobed Brain Coral,Lobophyllia corymbosa,LPS,Lobophylliidae,Moderate,Moderate,Low,Moderate,30,Lower,Slow,18,Yes,Yes
Symphyllia Brain Coral,Symphyllia valenciennesii,LPS,Lobophylliidae,Moderate,Moderate,Low,Moderate,30,Lower,Slow,18,Yes,Yes
Pineapple Coral,Blastomussa merleti,LPS,Merulinidae,Easy,Low,Low,Low,20,Lower,Slow,8,Yes,Yes
Christmas Favia,Favia speciosa,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,18,Yes,Yes
War Coral,Favites pentagona,LPS,Merulinidae,Moderate,Moderate,Moderate,High,30,Middle,Slow,18,Yes,Yes
Moon Coral,Favites abdita,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,24,Yes,Yes
Pagoda Coral,Turbinaria mesenterina,LPS,Dendrophylliidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Scroll Coral,Turbinaria ornata,LPS,Dendrophylliidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Red Goniopora,Goniopora stokesi,LPS,Poritidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,18,Yes,Yes
Green Goniopora,Goniopora lobata,LPS,Poritidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Alveopora Coral,Alveopora japonica,LPS,Acroporidae,Moderate,Moderate,Low,Low,30,Middle,Moderate,12,Yes,Yes
Flowerpot Coral,Goniopora columna,LPS,Poritidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,18,Yes,Yes
Galaxy Coral,Galaxea fascicularis,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Hydnophora Horn Coral,Hydnophora exesa,LPS,Merulinidae,Moderate,High,High,High,50,Upper,Fast,24,Yes,Yes
Trumpet Coral,Caulastrea echinulata,LPS,Merulinidae,Easy,Moderate,Low,Low,20,Middle,Moderate,12,Yes,Yes
Candy Apple Micromussa,Micromussa amakusensis,LPS,Lobophylliidae,Moderate,Low,Low,Low,20,Lower,Slow,10,Yes,Yes
Lobo Coral,Lobophyllia pachysepta,LPS,Lobophylliidae,Moderate,Moderate,Low,Moderate,30,Lower,Slow,18,Yes,Yes
Button Scolymia,Homophyllia australis,LPS,Lobophylliidae,Moderate,Low,Low,Low,20,Sand Bed,Slow,8,Yes,Yes
Orange Fungia,Fungia repanda,LPS,Fungiidae,Easy,Moderate,Low,Low,20,Sand Bed,Moderate,10,Yes,Yes
Cycloseris Plate Coral,Cycloseris cyclolites,LPS,Fungiidae,Moderate,Low,Low,Low,20,Sand Bed,Slow,8,Yes,Yes
Cup Mushroom Coral,Discosoma nummiforme,Corallimorph,Discosomatidae,Easy,Low,Low,Low,10,Lower,Fast,10,Yes,Yes
Striped Mushroom Coral,Actinodiscus striata,Corallimorph,Discosomatidae,Easy,Low,Low,Low,10,Lower,Fast,10,Yes,Yes
Elephant Ear Mushroom,Amplexidiscus fenestrafer,Corallimorph,Discosomatidae,Easy,Low,Low,Moderate,20,Lower,Fast,20,Yes,Yes
Metallic Green Leather,Sarcophyton elegans,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Cabbage Leather Coral,Sinularia dura,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Tree Leather Coral,Nephthea sp.,Soft Coral,Nephtheidae,Moderate,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Yellow Fiji Leather,Sarcophyton sp.,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Weeping Willow Toadstool,Sarcophyton sp.,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Japanese Toadstool Leather,Sarcophyton trocheliophorum,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Green Sinularia,Sinularia flexibilis,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Carnation Tree Coral,Stereonephthya sp.,Soft Coral,Nephtheidae,Difficult,Low,Moderate,Low,30,Middle,Moderate,18,Yes,No
Blue Sympodium,Sympodium sp.,Soft Coral,Xeniidae,Easy,Moderate,Moderate,Low,20,Lower,Fast,12,Yes,Yes
Clove Polyps,Clavularia viridis,Soft Coral,Clavulariidae,Easy,Moderate,Moderate,Low,10,Any,Fast,24,Yes,Yes
Blue Clove Polyps,Clavularia sp.,Soft Coral,Clavulariidae,Easy,Moderate,Moderate,Low,10,Any,Fast,24,Yes,Yes
Yellow Polyps,Parazoanthus gracilis,Soft Coral,Parazoanthidae,Easy,Moderate,Moderate,Low,10,Any,Fast,18,Yes,Yes
Nuclear Green Palythoa,Palythoa mutuki,Soft Coral,Zoanthidae,Easy,Moderate,Moderate,Moderate,10,Any,Fast,18,Yes,Yes
Eagle Eye Zoanthid,Zoanthus gigantus,Soft Coral,Zoanthidae,Easy,Moderate,Moderate,Low,10,Any,Fast,12,Yes,Yes
Radioactive Dragon Eye Zoanthid,Zoanthus vietnamensis,Soft Coral,Zoanthidae,Easy,Moderate,Moderate,Low,10,Any,Fast,12,Yes,Yes
Armor of God Zoanthid,Zoanthus sansibaricus,Soft Coral,Zoanthidae,Easy,Moderate,Moderate,Low,10,Any,Fast,12,Yes,Yes
Sunny D Zoanthid,Zoanthus kuroshio,Soft Coral,Zoanthidae,Easy,Moderate,Moderate,Low,10,Any,Fast,12,Yes,Yes
King Midas Zoanthid,Zoanthus sp.,Soft Coral,Zoanthidae,Easy,Moderate,Moderate,Low,10,Any,Fast,12,Yes,Yes
Green Kenya Tree,Capnella imbricata,Soft Coral,Nephtheidae,Easy,Moderate,Moderate,Low,20,Middle,Fast,18,Yes,Yes
Purple Cespitularia,Cespitularia sp.,Soft Coral,Xeniidae,Moderate,Moderate,Moderate,Low,20,Middle,Moderate,18,Yes,Yes
Blue Xenia,Xenia umbellata,Soft Coral,Xeniidae,Easy,Moderate,Moderate,Low,10,Middle,Fast,24,Yes,Yes
Pom Pom Xenia,Xenia sp.,Soft Coral,Xeniidae,Easy,Moderate,Moderate,Low,10,Middle,Fast,24,Yes,Yes
Anthelia Coral,Anthelia glauca,Soft Coral,Xeniidae,Easy,Moderate,Moderate,Low,10,Any,Fast,24,Yes,Yes
Green Nephthea,Nephthea sp.,Soft Coral,Nephtheidae,Moderate,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Broccoli Leather Coral,Sinularia brassica,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Jack-O-Lantern Leptoseris,Leptoseris hawaiiensis,SPS,Agariciidae,Moderate,Low,Low,Low,20,Lower,Slow,18,Yes,Yes
Green Pavona,Pavona decussata,SPS,Agariciidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Cactus Coral,Pavona cactus,SPS,Agariciidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Scroll Pavona,Pavona varians,SPS,Agariciidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,18,Yes,Yes
Green Stylocoeniella,Stylocoeniella armata,SPS,Stylocoeniellidae,Moderate,High,High,Low,30,Upper,Moderate,18,Yes,Yes
Forest Fire Digitata,Montipora digitata,SPS,Acroporidae,Moderate,High,High,Low,30,Upper,Fast,24,Yes,Yes
Sunset Montipora,Montipora monasteriata,SPS,Acroporidae,Moderate,High,High,Low,30,Upper,Moderate,18,Yes,Yes
Rainbow Montipora,Montipora danae,SPS,Acroporidae,Moderate,High,High,Low,30,Upper,Moderate,18,Yes,Yes
Purple Stylophora,Stylophora pistillata,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Moderate,18,Yes,Yes
Pink Pocillopora,Pocillopora verrucosa,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Fast,18,Yes,Yes
Bird of Paradise Birdsnest,Seriatopora caliendrum,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Fast,18,Yes,Yes
Green Birdsnest,Seriatopora hystrix,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Fast,18,Yes,Yes
Blue Millepora Acropora,Acropora millepora,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Fast,24,Yes,Yes
Strawberry Shortcake Acropora,Acropora microclados,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
Walt Disney Acropora,Acropora tenuis,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
Fox Flame Acropora,Acropora sp.,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
ORA Pearlberry Acropora,Acropora desalwii,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
Green Hydnophora,Hydnophora rigida,SPS,Merulinidae,Moderate,High,High,High,50,Upper,Fast,24,Yes,Yes
Branching Hydnophora,Hydnophora exesa,SPS,Merulinidae,Moderate,High,High,High,50,Upper,Fast,24,Yes,Yes
Blue Ridge Hydrocoral,Heliopora coerulea,SPS,Helioporidae,Moderate,High,High,Low,50,Upper,Fast,36,Yes,Yes
Miami Hurricane Chalice,Echinophyllia sp.,LPS,Lobophylliidae,Moderate,Low,Low,Moderate,30,Lower,Moderate,18,Yes,Yes
Watermelon Chalice,Mycedium elephantotus,LPS,Lobophylliidae,Moderate,Low,Low,Moderate,30,Lower,Moderate,18,Yes,Yes
Mummy Eye Chalice,Echinophyllia aspera,LPS,Lobophylliidae,Moderate,Low,Low,Moderate,30,Lower,Moderate,18,Yes,Yes
Purple Cyphastrea,Cyphastrea japonica,SPS,Merulinidae,Easy,Moderate,Moderate,Low,20,Lower,Slow,12,Yes,Yes
Jingle Bells Cyphastrea,Cyphastrea decadia,SPS,Merulinidae,Easy,Moderate,Moderate,Low,20,Lower,Slow,12,Yes,Yes
Branching Psammocora,Psammocora digitata,SPS,Psammocoridae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,18,Yes,Yes
Yellow Scroll Coral,Turbinaria reniformis,LPS,Dendrophylliidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Green Scroll Coral,Turbinaria mesenterina,LPS,Dendrophylliidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Orange Lobophyllia,Lobophyllia hemprichii,LPS,Lobophylliidae,Moderate,Moderate,Low,Moderate,30,Lower,Slow,18,Yes,Yes
Aussie Scolymia,Homophyllia australis,LPS,Lobophylliidae,Moderate,Low,Low,Low,20,Sand Bed,Slow,8,Yes,Yes
Bleeding Apple Scolymia,Homophyllia australis,LPS,Lobophylliidae,Moderate,Low,Low,Low,20,Sand Bed,Slow,8,Yes,Yes
Rainbow Trachyphyllia,Trachyphyllia geoffroyi,LPS,Merulinidae,Moderate,Low,Low,Low,30,Sand Bed,Slow,12,Yes,Yes
Dragon Soul Favia,Favia speciosa,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,18,Yes,Yes
Golden Eye Favites,Favites pentagona,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,18,Yes,Yes
Ultra Acan,Micromussa lordhowensis,LPS,Lobophylliidae,Moderate,Low,Low,Low,20,Lower,Moderate,12,Yes,Yes
Rainbow Acan,Micromussa lordhowensis,LPS,Lobophylliidae,Moderate,Low,Low,Low,20,Lower,Moderate,12,Yes,Yes
Holy Grail Torch,Fimbriaphyllia glabrescens,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Gold Hammer Coral,Fimbriaphyllia ancora,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Dragon Soul Torch,Fimbriaphyllia glabrescens,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Aussie Gold Torch,Fimbriaphyllia glabrescens,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Hellfire Torch,Fimbriaphyllia glabrescens,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Green Branching Frogspawn,Fimbriaphyllia paradivisa,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Gold Frogspawn,Fimbriaphyllia divisa,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Orange Branching Hammer,Fimbriaphyllia parancora,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Bi-Color Hammer Coral,Fimbriaphyllia ancora,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Neon Green Candy Cane,Caulastrea furcata,LPS,Merulinidae,Easy,Moderate,Low,Low,20,Middle,Moderate,12,Yes,Yes
Orange Crush Duncan,Duncanopsammia axifuga,LPS,Dendrophylliidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,18,Yes,Yes
Green Duncan Coral,Duncanopsammia axifuga,LPS,Dendrophylliidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,18,Yes,Yes
Aussie Elegance Coral,Catalaphyllia jardinei,LPS,Euphylliidae,Moderate,Moderate,Low,Moderate,50,Sand Bed,Moderate,24,Yes,Yes
Green Elegance Coral,Catalaphyllia jardinei,LPS,Euphylliidae,Moderate,Moderate,Low,Moderate,50,Sand Bed,Moderate,24,Yes,Yes
Orange Plate Coral,Fungia fungites,LPS,Fungiidae,Easy,Moderate,Low,Low,20,Sand Bed,Moderate,10,Yes,Yes
Purple Plate Coral,Fungia scutaria,LPS,Fungiidae,Easy,Moderate,Low,Low,20,Sand Bed,Moderate,10,Yes,Yes
Neon Green Toadstool,Sarcophyton sp.,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Long Polyp Toadstool,Sarcophyton ehrenbergi,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Finger Sinularia,Sinularia flexibilis,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Green Finger Leather,Sinularia polydactyla,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
