Product Name,Manufacturer,Power Consumption (W),Coverage Length (in),Coverage Width (in),Control Method,Mount Included,Suitable Coral Types,Warranty (Years)
XHO Blue LED Strip 48,Reef Brite,48,48,24,Manual,FALSE,SPS,1
XHO Blue LED Strip 60,Reef Brite,60,60,24,Manual,FALSE,SPS,1
XHO Actinic LED Strip 24,Reef Brite,24,24,24,Manual,FALSE,SPS,1
XHO Actinic LED Strip 48,Reef Brite,48,48,24,Manual,FALSE,SPS,1
LumenBar Blue 24,Orphek,24,24,24,Manual,FALSE,SPS,2
LumenBar Blue 36,Orphek,36,36,24,Manual,FALSE,SPS,2
LumenBar Blue 48,Orphek,48,48,24,Manual,FALSE,SPS,2
LumenBar Daylight 24,Orphek,24,24,24,Manual,FALSE,Mixed Reef,2
LumenBar Daylight 36,Orphek,36,36,24,Manual,FALSE,Mixed Reef,2
LumenBar Daylight 48,Orphek,48,48,24,Manual,FALSE,Mixed Reef,2
Jump L165 Blue Edition,Maxspect,65,24,24,App,FALSE,Mixed Reef,1
Jump L260 Blue Edition,Maxspect,130,30,30,App,FALSE,SPS,1
RSX 100,Maxspect,100,24,24,App,FALSE,Mixed Reef,1
RSX 200,Maxspect,200,48,24,App,FALSE,SPS,1
Hydra Edge 44HD,Aqua Illumination,95,24,24,App,FALSE,Mixed Reef,1
Hydra Edge 68HD,Aqua Illumination,145,36,36,App,FALSE,SPS,1
Prime Edge 18HD,Aqua Illumination,60,20,20,App,FALSE,LPS,1
Blade Refugium 21,Aqua Illumination,20,21,24,App,FALSE,Refugium,1
Blade Refugium 39,Aqua Illumination,40,39,24,App,FALSE,Refugium,1
Blade Refugium 57,Aqua Illumination,60,57,24,App,FALSE,Refugium,1
Blade Refugium 66,Aqua Illumination,80,66,24,App,FALSE,Refugium,1
Reefi Uno Extreme,Reefi Lab,180,36,36,App,FALSE,SPS,2
Orphek Atlantik Compact V4,Orphek,110,24,24,App,FALSE,Mixed Reef,2
Orphek Atlantik V4 Gen2,Orphek,235,36,36,App,FALSE,SPS,2
A360X Refugium,Kessil,90,24,24,App,FALSE,Refugium,1
H380 Spectral Halo II,Kessil,90,24,24,Manual,FALSE,Refugium,1
H160 Tuna Flora,Kessil,40,18,18,Manual,FALSE,Refugium,1
Photon 16 V2 Pro,Reef Breeders,80,18,18,App,FALSE,Mixed Reef,2
Photon 24 V2+,Reef Breeders,120,24,24,App,FALSE,Mixed Reef,2
Photon 32 V2+,Reef Breeders,160,32,24,App,FALSE,SPS,2
Photon 50 V2+,Reef Breeders,240,48,24,App,FALSE,SPS,2
Meridian Reef Light 120,Reef Factory,120,24,24,App,FALSE,Mixed Reef,2
Meridian Reef Light 180,Reef Factory,180,36,36,App,FALSE,SPS,2
Straton Flex 153,GHL,153,36,24,App,FALSE,SPS,2
