Common Name,Scientific Name,Family,Category,Reef Safe,Temperament,Care Level,Minimum Tank Size (gal),Maximum Size (in)
Yellowtail Blue Damselfish,Chrysiptera parasema,Pomacentridae,Damselfish,Yes,Semi-Aggressive,Easy,30,3.0
Rolland's Damselfish,Chrysiptera rollandi,Pomacentridae,Damselfish,Yes,Peaceful,Easy,30,3.0
Engineer Goby,Pholidichthys leucotaenia,Pholidichthyidae,Goby,Yes,Peaceful,Moderate,55,12.0
Sleeper Banded Goby,Amblygobius phalaena,Gobiidae,Goby,Yes,Peaceful,Moderate,30,6.0
Lyretail Anthias,Pseudanthias squamipinnis,Serranidae,Anthias,Yes,Peaceful,Moderate,125,5.0
Bicolor Anthias,Pseudanthias bicolor,Serranidae,Anthias,Yes,Semi-Aggressive,Easy,125,5.0
Ignitus Anthias,Pseudanthias ignitus,Serranidae,Anthias,Yes,Peaceful,Easy,70,3.5
Huchtii Anthias,Pseudanthias huchtii,Serranidae,Anthias,Yes,Semi-Aggressive,Moderate,125,4.75
Stocky Anthias,Pseudanthias hypselosoma,Serranidae,Anthias,Yes,Semi-Aggressive,Moderate,125,7.0
Blotched Anthias,Odontanthias borbonius,Serranidae,Anthias,Yes,Semi-Aggressive,Moderate,130,6.0
Pink Anthias,Pseudanthias tuka,Serranidae,Anthias,Yes,Semi-Aggressive,Moderate,70,4.0
One Spot Foxface,Siganus unimaculatus,Siganidae,Rabbitfish,With Caution,Peaceful,Moderate,70,8.0
Green Mandarin,Synchiropus splendidus,Callionymidae,Dragonet,Yes,Peaceful,Difficult,30,3.0
Spotted Mandarin,Synchiropus picturatus,Callionymidae,Dragonet,Yes,Peaceful,Difficult,30,4.0
Ruby Red Dragonet,Synchiropus sycorax,Callionymidae,Dragonet,Yes,Peaceful,Moderate,30,2.5
Matted Filefish,Acreichthys tomentosus,Monacanthidae,Filefish,With Caution,Peaceful,Moderate,30,5.0
Talbot's Damselfish,Chrysiptera talboti,Pomacentridae,Damselfish,Yes,Peaceful,Easy,30,2.5
Azure Damselfish,Chrysiptera hemicyanea,Pomacentridae,Damselfish,Yes,Semi-Aggressive,Easy,30,3.0
Springer's Damsel,Chrysiptera springeri,Pomacentridae,Damselfish,Yes,Peaceful,Easy,30,2.5
Yellow Clown Goby,Gobiodon okinawae,Gobiidae,Goby,Yes,Peaceful,Easy,10,1.5
Citron Clown Goby,Gobiodon citrinus,Gobiidae,Goby,Yes,Peaceful,Easy,10,2.0
Hi Fin Red Banded Goby,Stonogobiops nematodes,Gobiidae,Goby,Yes,Peaceful,Easy,10,2.0
Flame Angelfish,Centropyge loricula,Pomacanthidae,Dwarf Angelfish,With Caution,Semi-Aggressive,Moderate,70,4.0
Coral Beauty Angelfish,Centropyge bispinosa,Pomacanthidae,Dwarf Angelfish,With Caution,Semi-Aggressive,Easy,70,4.0
Lemonpeel Angelfish,Centropyge flavissima,Pomacanthidae,Dwarf Angelfish,With Caution,Semi-Aggressive,Moderate,70,5.5
Bicolor Angelfish,Centropyge bicolor,Pomacanthidae,Dwarf Angelfish,With Caution,Semi-Aggressive,Moderate,70,6.0
Flameback Angelfish,Centropyge acanthops,Pomacanthidae,Dwarf Angelfish,With Caution,Semi-Aggressive,Moderate,55,3.0
Cherub Angelfish,Centropyge argi,Pomacanthidae,Dwarf Angelfish,With Caution,Semi-Aggressive,Moderate,30,3.0
Half Black Angelfish,Centropyge vrolikii,Pomacanthidae,Dwarf Angelfish,With Caution,Semi-Aggressive,Moderate,55,4.0
Multicolor Angelfish,Centropyge multicolor,Pomacanthidae,Dwarf Angelfish,With Caution,Peaceful,Moderate,70,4.0
Copperband Butterflyfish,Chelmon rostratus,Chaetodontidae,Butterflyfish,With Caution,Peaceful,Difficult,75,8.0
Raccoon Butterflyfish,Chaetodon lunula,Chaetodontidae,Butterflyfish,No,Peaceful,Moderate,125,8.0
Longnose Butterflyfish,Forcipiger flavissimus,Chaetodontidae,Butterflyfish,With Caution,Peaceful,Moderate,125,9.0
Longnose Hawkfish,Oxycirrhites typus,Cirrhitidae,Hawkfish,With Caution,Semi-Aggressive,Easy,30,5.0
Flame Hawkfish,Neocirrhites armatus,Cirrhitidae,Hawkfish,With Caution,Semi-Aggressive,Easy,30,4.0
Pixy Hawkfish,Cirrhitichthys oxycephalus,Cirrhitidae,Hawkfish,With Caution,Peaceful,Easy,30,4.0
Orchid Dottyback,Pseudochromis fridmani,Pseudochromidae,Dottyback,Yes,Semi-Aggressive,Easy,30,3.0
Purple Dottyback,Pseudochromis porphyreus,Pseudochromidae,Dottyback,Yes,Aggressive,Easy,30,3.0
Springer's Dottyback,Pseudochromis springeri,Pseudochromidae,Dottyback,Yes,Semi-Aggressive,Easy,30,2.5
Pajama Cardinalfish,Sphaeramia nematoptera,Apogonidae,Cardinalfish,Yes,Peaceful,Easy,30,3.0
Threadfin Cardinalfish,Zoramia leptacantha,Apogonidae,Cardinalfish,Yes,Peaceful,Easy,30,2.0
Blackcap Basslet,Gramma melacara,Grammatidae,Basslet,Yes,Peaceful,Moderate,30,4.0
Six Line Wrasse,Pseudocheilinus hexataenia,Labridae,Wrasse,Yes,Semi-Aggressive,Easy,30,4.0
Melanurus Wrasse,Halichoeres melanurus,Labridae,Wrasse,Yes,Peaceful,Moderate,55,5.0
Yellow Coris Wrasse,Halichoeres chrysus,Labridae,Wrasse,Yes,Peaceful,Easy,50,5.0
Labout's Fairy Wrasse,Cirrhilabrus laboutei,Labridae,Fairy Wrasse,Yes,Peaceful,Easy,90,5.5
Solar Fairy Wrasse,Cirrhilabrus solorensis,Labridae,Fairy Wrasse,Yes,Peaceful,Easy,55,5.0
Exquisite Fairy Wrasse,Cirrhilabrus exquisitus,Labridae,Fairy Wrasse,Yes,Peaceful,Moderate,90,5.0
Carpenter's Flasher Wrasse,Paracheilinus carpenteri,Labridae,Flasher Wrasse,Yes,Peaceful,Easy,55,3.5
McCosker's Flasher Wrasse,Paracheilinus mccoskeri,Labridae,Flasher Wrasse,Yes,Peaceful,Easy,55,3.0
Pearly Wrasse,Halichoeres margaritaceus,Labridae,Wrasse,Yes,Peaceful,Moderate,90,5.0
Yellow Watchman Goby,Cryptocentrus cinctus,Gobiidae,Goby,Yes,Peaceful,Easy,30,4.0
Diamond Watchman Goby,Valenciennea puellaris,Gobiidae,Goby,Yes,Peaceful,Moderate,30,6.0
Orange Spotted Goby,Amblyeleotris guttata,Gobiidae,Goby,Yes,Peaceful,Moderate,30,4.0
Randall's Shrimp Goby,Amblyeleotris randalli,Gobiidae,Goby,Yes,Peaceful,Moderate,20,4.0
Court Jester Goby,Koumansetta rainfordi,Gobiidae,Goby,Yes,Peaceful,Moderate,30,2.5
Lawnmower Blenny,Salarias fasciatus,Blenniidae,Blenny,Yes,Peaceful,Easy,30,5.5
Tailspot Blenny,Ecsenius stigmatura,Blenniidae,Blenny,Yes,Peaceful,Easy,10,2.5
Linear Blenny,Ecsenius lineatus,Blenniidae,Blenny,Yes,Peaceful,Easy,30,3.5
Firefish Goby,Nemateleotris magnifica,Ptereleotridae,Firefish,Yes,Peaceful,Easy,20,3.0
Purple Firefish,Nemateleotris decora,Ptereleotridae,Firefish,Yes,Peaceful,Moderate,30,4.0
Ocellaris Clownfish,Amphiprion ocellaris,Pomacentridae,Clownfish,Yes,Peaceful,Easy,20,4.25
Percula Clownfish,Amphiprion percula,Pomacentridae,Clownfish,Yes,Peaceful,Easy,20,3.0
Clarkii Clownfish,Amphiprion clarkii,Pomacentridae,Clownfish,Yes,Semi-Aggressive,Easy,30,6.0
Tomato Clownfish,Amphiprion frenatus,Pomacentridae,Clownfish,Yes,Semi-Aggressive,Easy,30,5.5
Maroon Clownfish,Premnas biaculeatus,Pomacentridae,Clownfish,Yes,Aggressive,Moderate,30,6.0
Pink Skunk Clownfish,Amphiprion perideraion,Pomacentridae,Clownfish,Yes,Peaceful,Easy,30,4.0
Orange Skunk Clownfish,Amphiprion sandaracinos,Pomacentridae,Clownfish,Yes,Peaceful,Easy,30,5.0
McCullochi Clownfish,Amphiprion mccullochi,Pomacentridae,Clownfish,Yes,Semi-Aggressive,Moderate,70,4.5
Blue Tang,Paracanthurus hepatus,Acanthuridae,Tang,Yes,Peaceful,Moderate,180,12.0
Yellow Tang,Zebrasoma flavescens,Acanthuridae,Tang,Yes,Semi-Aggressive,Moderate,75,8.0
Kole Tang,Ctenochaetus strigosus,Acanthuridae,Tang,Yes,Peaceful,Moderate,70,7.0
Purple Tang,Zebrasoma xanthurum,Acanthuridae,Tang,Yes,Semi-Aggressive,Moderate,125,10.0
Sailfin Tang,Zebrasoma veliferum,Acanthuridae,Tang,Yes,Semi-Aggressive,Moderate,180,15.0
Powder Blue Tang,Acanthurus leucosternon,Acanthuridae,Tang,Yes,Semi-Aggressive,Difficult,125,9.0
Powder Brown Tang,Acanthurus japonicus,Acanthuridae,Tang,Yes,Semi-Aggressive,Moderate,125,8.0
Naso Tang,Naso lituratus,Acanthuridae,Tang,Yes,Peaceful,Moderate,180,18.0
Royal Gramma,Gramma loreto,Grammatidae,Basslet,Yes,Peaceful,Easy,30,3.0
Blue Reef Chromis,Chromis cyanea,Pomacentridae,Chromis,Yes,Peaceful,Easy,30,5.0
Banggai Cardinalfish,Pterapogon kauderni,Apogonidae,Cardinalfish,Yes,Peaceful,Easy,30,3.0
