Product Name,Manufacturer,Display Volume (gal),Length (in),Width (in),Height (in),Rimless,Glass Thickness (mm),Overflow Type,Stand Included
INFINIA 190.5 Aquarium System,Waterbox Aquariums,137,70.9,25.6,21.7,TRUE,19,Internal,TRUE
INFINIA 230.6 Aquarium System,Waterbox Aquariums,167,94.5,25.6,21.7,TRUE,19,Internal,TRUE
AIO 35.2 Aquarium System,Waterbox Aquariums,33,23.6,19.7,19.7,TRUE,10,Rear Chamber,TRUE
AIO 50.3 Aquarium System,Waterbox Aquariums,49,35.4,19.7,19.7,TRUE,10,Rear Chamber,TRUE
AIO 65.4 Aquarium System,Waterbox Aquariums,65,47.2,19.7,19.7,TRUE,12,Rear Chamber,TRUE
10 Gallon Nano Rimless AIO Aquarium,JBJ,10,17.7,11.8,13.8,TRUE,6,Rear Chamber,FALSE
15 Gallon Nano Rimless AIO Aquarium,JBJ,15,23.6,13.8,13.8,TRUE,6,Rear Chamber,FALSE
20 Gallon Nano Rimless AIO Aquarium,JBJ,20,23.6,15.7,15.7,TRUE,8,Rear Chamber,FALSE
25 Gallon Lagoon AIO Aquarium,Innovative Marine,25,23.6,19.7,12.6,TRUE,8,Rear Chamber,FALSE
40 Gallon Lagoon AIO Aquarium,Innovative Marine,40,35.4,19.7,15.7,TRUE,10,Rear Chamber,FALSE
50 EXT Aquarium,Innovative Marine,50,35.4,23.6,15.7,TRUE,10,External,FALSE
75 EXT Aquarium,Innovative Marine,75,47.2,23.6,19.7,TRUE,12,External,FALSE
100 EXT Aquarium,Innovative Marine,100,47.2,23.6,23.6,TRUE,12,External,FALSE
Reefer Peninsula 350 G2+,Red Sea,91,47.2,23.6,22.6,TRUE,15,Internal,TRUE
Reefer Peninsula 500 G2+,Red Sea,105,49.2,23.6,23.6,TRUE,15,Internal,TRUE
Reefer Peninsula 650 G2+,Red Sea,140,63,25.2,23.6,TRUE,19,Internal,TRUE
Peninsula 3620 Aquarium System,Waterbox Aquariums,65,36.5,20.5,21.7,TRUE,12,Side Overflow,TRUE
Peninsula 4820 Aquarium System,Waterbox Aquariums,91,48.5,20.5,21.7,TRUE,15,Side Overflow,TRUE
Peninsula 6025 Aquarium System,Waterbox Aquariums,136,60.5,25.3,22.6,TRUE,15,Side Overflow,TRUE
Peninsula 7225 Aquarium System,Waterbox Aquariums,165,72.4,25.3,22.6,TRUE,19,Side Overflow,TRUE
REEF LX 230.6 Aquarium System,Waterbox Aquariums,180,94.5,25.6,21.7,TRUE,19,Internal,TRUE
CLEAR 4820 Aquarium System,Waterbox Aquariums,91,48.5,20.5,21.7,TRUE,15,None,TRUE
CLEAR MINI 3620 Aquarium System,Waterbox Aquariums,65,36.5,20.5,21.7,TRUE,12,None,TRUE
Fusion Pro 2 15 AIO Aquarium,Innovative Marine,15,23.6,13.8,13.8,TRUE,6,Rear Chamber,FALSE
Fusion Pro 2 20 AIO Aquarium,Innovative Marine,20,23.6,15.7,15.7,TRUE,8,Rear Chamber,FALSE
Fusion Pro 2 25 Lagoon AIO Aquarium,Innovative Marine,25,23.6,19.7,12.6,TRUE,8,Rear Chamber,FALSE
Fusion Pro 2 40 Lagoon AIO Aquarium,Innovative Marine,40,35.4,19.7,15.7,TRUE,10,Rear Chamber,FALSE
Fusion Pro 2 SR-60 AIO Aquarium,Innovative Marine,60,47.2,23.6,15.7,TRUE,12,Rear Chamber,TRUE
Fusion Pro 2 SR-80 AIO Aquarium,Innovative Marine,80,47.2,23.6,19.7,TRUE,12,Rear Chamber,TRUE
Fusion Pro 2 EXT 150 Aquarium,Innovative Marine,150,71,30,19.7,TRUE,15,External,FALSE
Fusion Pro 2 EXT 170 Aquarium,Innovative Marine,170,71,30,23.6,TRUE,19,External,FALSE
Fusion Pro 2 EXT 200 Aquarium,Innovative Marine,200,95,30,19.7,TRUE,19,External,FALSE
Fusion Pro 2 EXT 300 Aquarium,Innovative Marine,300,95,36,23.6,TRUE,19,External,FALSE
NUVO Fusion 10 AIO Aquarium,Innovative Marine,10,15.7,13.8,13.8,TRUE,6,Rear Chamber,FALSE
NUVO Fusion 20 AIO Aquarium,Innovative Marine,20,23.6,15.7,13.8,TRUE,8,Rear Chamber,FALSE
NUVO Fusion 30L AIO Aquarium,Innovative Marine,30,35.4,15.7,13.8,TRUE,8,Rear Chamber,FALSE
NUVO Fusion 40 Breeder AIO Aquarium,Innovative Marine,40,35.4,19.7,15.7,TRUE,10,Rear Chamber,FALSE
NUVO Fusion 50 Lagoon AIO Aquarium,Innovative Marine,50,35.4,23.6,15.7,TRUE,10,Rear Chamber,FALSE
NUVO Fusion 75 EXT Aquarium,Innovative Marine,75,47.2,23.6,19.7,TRUE,12,External,FALSE
NUVO Fusion 100 EXT Aquarium,Innovative Marine,100,47.2,23.6,23.6,TRUE,12,External,FALSE
NUVO Fusion 120 EXT Aquarium,Innovative Marine,120,71,23.6,19.7,TRUE,15,External,FALSE
NUVO Fusion 150 EXT Aquarium,Innovative Marine,150,71,30,19.7,TRUE,15,External,FALSE
NUVO Fusion 170 EXT Aquarium,Innovative Marine,170,71,30,23.6,TRUE,19,External,FALSE
Cube 20 Peninsula AIO,Waterbox Aquariums,20,23.6,11.8,13.8,TRUE,8,Rear Chamber,FALSE
Cube 25 Peninsula AIO,Waterbox Aquariums,25,23.6,15.7,15.7,TRUE,8,Rear Chamber,FALSE
Cube 30 Peninsula AIO,Waterbox Aquariums,30,23.6,19.7,15.7,TRUE,10,Rear Chamber,FALSE
Mini Reef 35 Peninsula,Waterbox Aquariums,35,35.4,15.7,15.7,TRUE,10,Rear Chamber,TRUE
Mini Reef 50 Peninsula,Waterbox Aquariums,50,35.4,19.7,19.7,TRUE,10,Rear Chamber,TRUE
Mini Reef 65 Peninsula,Waterbox Aquariums,65,47.2,19.7,19.7,TRUE,12,Rear Chamber,TRUE
ProStar Rimless 60 System,Pro Clear Aquatic Systems,60,36,18,21,TRUE,10,Internal,TRUE
ProStar Rimless 90 System,Pro Clear Aquatic Systems,90,48,18,24,TRUE,12,Internal,TRUE
ProStar Rimless 120 System,Pro Clear Aquatic Systems,120,48,24,24,TRUE,15,Internal,TRUE
ProStar Rimless 150 System,Pro Clear Aquatic Systems,150,60,24,24,TRUE,15,Internal,TRUE
ProStar Rimless 180 System,Pro Clear Aquatic Systems,180,72,24,24,TRUE,19,Internal,TRUE
ProStar Rimless 230 System,Pro Clear Aquatic Systems,230,72,30,24,TRUE,19,Internal,TRUE
EXT 50 Lagoon System,Innovative Marine,50,35.4,23.6,15.7,TRUE,10,External,TRUE
EXT 75 Lagoon System,Innovative Marine,75,47.2,23.6,19.7,TRUE,12,External,TRUE
EXT 100 Lagoon System,Innovative Marine,100,47.2,23.6,23.6,TRUE,12,External,TRUE
EXT 150 Peninsula System,Innovative Marine,150,71,23.6,19.7,TRUE,15,External,TRUE
EXT 170 Peninsula System,Innovative Marine,170,71,30,23.6,TRUE,19,External,TRUE
EXT 200 Peninsula System,Innovative Marine,200,95,30,19.7,TRUE,19,External,TRUE
EXT 300 Peninsula System,Innovative Marine,300,95,36,23.6,TRUE,19,External,TRUE
Frag 80 Lagoon Aquarium,Innovative Marine,80,47.2,35.4,11.8,TRUE,12,None,FALSE
Frag 120 Lagoon Aquarium,Innovative Marine,120,71,35.4,11.8,TRUE,15,None,FALSE
Frag 170 Lagoon Aquarium,Innovative Marine,170,95,35.4,11.8,TRUE,19,None,FALSE
Mini Complete Reef 45,JBJ,45,24,24,18,TRUE,10,Rear Chamber,TRUE
Mini Complete Reef 65,JBJ,65,36,24,18,TRUE,12,Rear Chamber,TRUE
Mini Complete Reef 85,JBJ,85,48,24,18,TRUE,12,Rear Chamber,TRUE
Rimless Flat Panel 40 Breeder,Aqueon,40,36,18,16,TRUE,8,None,FALSE
Rimless Flat Panel 60 Cube,Aqueon,60,24,24,24,TRUE,10,None,FALSE
Rimless Flat Panel 90,Aqueon,90,48,18,24,TRUE,12,None,FALSE
Rimless Flat Panel 120,Aqueon,120,48,24,24,TRUE,15,None,FALSE
Rimless Flat Panel 150,Aqueon,150,60,24,24,TRUE,15,None,FALSE
Rimless Flat Panel 180,Aqueon,180,72,24,24,TRUE,19,None,FALSE
Rimless Flat Panel 210,Aqueon,210,72,24,29,TRUE,19,None,FALSE
Rimless Flat Panel 240,Aqueon,240,96,24,24,TRUE,19,None,FALSE
Rimless Flat Panel 300,Aqueon,300,96,30,24,TRUE,19,None,FALSE
Planet Pro Reef 75,Planet Aquariums,75,48,18,21,TRUE,12,Internal,FALSE
Planet Pro Reef 90,Planet Aquariums,90,48,18,24,TRUE,12,Internal,FALSE
Planet Pro Reef 120,Planet Aquariums,120,48,24,24,TRUE,15,Internal,FALSE
Planet Pro Reef 150,Planet Aquariums,150,60,24,24,TRUE,15,Internal,FALSE
Planet Pro Reef 180,Planet Aquariums,180,72,24,24,TRUE,19,Internal,FALSE
Planet Pro Reef 220,Planet Aquariums,220,72,30,24,TRUE,19,Internal,FALSE
SR Pro 60 Reef System,Innovative Marine,60,48,24,15.7,TRUE,12,Rear Chamber,TRUE
SR Pro 80 Reef System,Innovative Marine,80,48,24,19.7,TRUE,12,Rear Chamber,TRUE
SR Pro 120 Reef System,Innovative Marine,120,72,24,19.7,TRUE,15,Rear Chamber,TRUE
SR Pro 150 Reef System,Innovative Marine,150,72,30,19.7,TRUE,15,Rear Chamber,TRUE
Lagoon Pro 25 Reef System,Innovative Marine,25,23.6,19.7,12.6,TRUE,8,Rear Chamber,TRUE
Lagoon Pro 50 Reef System,Innovative Marine,50,35.4,23.6,15.7,TRUE,10,Rear Chamber,TRUE
Lagoon Pro 75 Reef System,Innovative Marine,75,47.2,23.6,19.7,TRUE,12,Rear Chamber,TRUE
Lagoon Pro 100 Reef System,Innovative Marine,100,47.2,23.6,23.6,TRUE,12,Rear Chamber,TRUE
Lagoon Pro 150 Reef System,Innovative Marine,150,71,30,19.7,TRUE,15,Rear Chamber,TRUE
Lagoon Pro 200 Reef System,Innovative Marine,200,95,30,19.7,TRUE,19,Rear Chamber,TRUE
Planet Pro Reef 250,Planet Aquariums,250,96,30,24,TRUE,19,Internal,FALSE
Planet Pro Reef 300,Planet Aquariums,300,96,36,24,TRUE,19,Internal,FALSE
Planet Pro Reef Peninsula 180,Planet Aquariums,180,72,30,24,TRUE,19,Side Overflow,FALSE
Planet Pro Reef Peninsula 220,Planet Aquariums,220,84,30,24,TRUE,19,Side Overflow,FALSE
Planet Pro Reef Peninsula 300,Planet Aquariums,300,96,36,24,TRUE,19,Side Overflow,FALSE
SC 50 Peninsula AIO,Waterbox Aquariums,50,35.4,15.7,19.7,TRUE,10,Rear Chamber,FALSE
SC 65 Peninsula AIO,Waterbox Aquariums,65,47.2,15.7,19.7,TRUE,12,Rear Chamber,FALSE
SC 80 Peninsula AIO,Waterbox Aquariums,80,47.2,19.7,19.7,TRUE,12,Rear Chamber,FALSE
SC 100 Peninsula AIO,Waterbox Aquariums,100,59.1,19.7,19.7,TRUE,12,Rear Chamber,FALSE
Frag System 50,Waterbox Aquariums,50,35.4,23.6,11.8,TRUE,10,None,FALSE
Frag System 80,Waterbox Aquariums,80,47.2,23.6,11.8,TRUE,12,None,FALSE
Frag System 120,Waterbox Aquariums,120,71,23.6,11.8,TRUE,15,None,FALSE
Frag System 180,Waterbox Aquariums,180,95,23.6,11.8,TRUE,19,None,FALSE
Reef Ready 75 EXT,Fiji Cube,75,48,18,21,TRUE,12,External,FALSE
Reef Ready 120 EXT,Fiji Cube,120,48,24,24,TRUE,15,External,FALSE
Reef Ready 150 EXT,Fiji Cube,150,60,24,24,TRUE,15,External,FALSE
Reef Ready 180 EXT,Fiji Cube,180,72,24,24,TRUE,19,External,FALSE
Reef Ready 220 EXT,Fiji Cube,220,72,30,24,TRUE,19,External,FALSE
Peninsula EXT 120,Fiji Cube,120,48,24,24,TRUE,15,Side Overflow,FALSE
Peninsula EXT 180,Fiji Cube,180,72,24,24,TRUE,19,Side Overflow,FALSE
Peninsula EXT 220,Fiji Cube,220,72,30,24,TRUE,19,Side Overflow,FALSE
Peninsula EXT 300,Fiji Cube,300,96,36,24,TRUE,19,Side Overflow,FALSE
Cube Reef 45,Fiji Cube,45,24,24,18,TRUE,10,Internal,FALSE
Cube Reef 60,Fiji Cube,60,24,24,24,TRUE,12,Internal,FALSE
Cube Reef 90,Fiji Cube,90,30,30,24,TRUE,12,Internal,FALSE
Cube Reef 120,Fiji Cube,120,36,36,22,TRUE,15,Internal,FALSE
Shallow Reef 50,Fiji Cube,50,48,24,10,TRUE,10,None,FALSE
Shallow Reef 80,Fiji Cube,80,48,24,16,TRUE,12,None,FALSE
Shallow Reef 120,Fiji Cube,120,72,24,16,TRUE,15,None,FALSE
Shallow Reef 180,Fiji Cube,180,96,24,18,TRUE,19,None,FALSE
INT 75 Reef System,CADE,75,48,24,20,TRUE,12,Internal,TRUE
INT 120 Reef System,CADE,120,48,24,24,TRUE,15,Internal,TRUE
INT 150 Reef System,CADE,150,60,24,24,TRUE,15,Internal,TRUE
INT 180 Reef System,CADE,180,72,24,24,TRUE,19,Internal,TRUE
S2 900 Reef System,CADE,95,35.4,24,22,TRUE,12,Internal,TRUE
S2 1200 Reef System,CADE,125,47.2,24,22,TRUE,15,Internal,TRUE
S2 1500 Reef System,CADE,160,59.1,24,22,TRUE,15,Internal,TRUE
S2 1800 Reef System,CADE,195,70.9,24,22,TRUE,19,Internal,TRUE
S2 2100 Reef System,CADE,230,82.7,24,22,TRUE,19,Internal,TRUE
S2 2400 Reef System,CADE,265,94.5,24,22,TRUE,19,Internal,TRUE
S2 3000 Reef System,CADE,330,118.1,24,22,TRUE,19,Internal,TRUE
S2 Peninsula 1200 Reef System,CADE,125,47.2,24,22,TRUE,15,Side Overflow,TRUE
S2 Peninsula 1500 Reef System,CADE,160,59.1,24,22,TRUE,15,Side Overflow,TRUE
S2 Peninsula 1800 Reef System,CADE,195,70.9,24,22,TRUE,19,Side Overflow,TRUE
S2 Peninsula 2100 Reef System,CADE,230,82.7,24,22,TRUE,19,Side Overflow,TRUE
S2 Peninsula 2400 Reef System,CADE,265,94.5,24,22,TRUE,19,Side Overflow,TRUE
EXT-R 100 Reef System,Innovative Marine,100,47.2,23.6,23.6,TRUE,12,External,TRUE
EXT-R 150 Reef System,Innovative Marine,150,71,23.6,19.7,TRUE,15,External,TRUE
EXT-R 170 Reef System,Innovative Marine,170,71,30,23.6,TRUE,19,External,TRUE
EXT-R 200 Reef System,Innovative Marine,200,95,30,19.7,TRUE,19,External,TRUE
EXT-R 300 Reef System,Innovative Marine,300,95,36,23.6,TRUE,19,External,TRUE
Lagoon EXT 50 Reef System,Innovative Marine,50,35.4,23.6,15.7,TRUE,10,External,TRUE
Lagoon EXT 75 Reef System,Innovative Marine,75,47.2,23.6,19.7,TRUE,12,External,TRUE
Lagoon EXT 100 Reef System,Innovative Marine,100,47.2,23.6,23.6,TRUE,12,External,TRUE
Lagoon EXT 150 Reef System,Innovative Marine,150,71,30,19.7,TRUE,15,External,TRUE
Lagoon EXT 200 Reef System,Innovative Marine,200,95,30,19.7,TRUE,19,External,TRUE
Mini Peninsula 25 AIO,JBJ,25,24,15,15,TRUE,8,Rear Chamber,FALSE
Mini Peninsula 45 AIO,JBJ,45,36,15,16,TRUE,10,Rear Chamber,FALSE
Mini Peninsula 65 AIO,JBJ,65,48,15,18,TRUE,12,Rear Chamber,FALSE
Mini Peninsula 95 AIO,JBJ,95,60,18,20,TRUE,12,Rear Chamber,FALSE

