Common Name,Scientific Name,Category,Family,Difficulty,Temperament,Reef Safe,Minimum Tank Size (gal),Maximum Size (in),Diet,Activity Level,Special Requirements
Blue Chromis Nudibranch,Chromodoris willani,Nudibranch,Chromodorididae,Difficult,Peaceful,Yes,30,2.0,Carnivore,Low,Specialized Sponge Diet
Magnificent Sea Slug,Elysia ornata,Sea Slug,Plakobranchidae,Moderate,Peaceful,Yes,20,2.0,Herbivore,Moderate,Macroalgae Availability
Tiger Tail Sea Slug,Stylocheilus striatus,Sea Slug,Aplysiidae,Moderate,Peaceful,Yes,30,3.0,Herbivore,Moderate,Cyanobacteria Grazer
Decorator Urchin,Toxopneustes pileolus,Sea Urchin,Toxopneustidae,Moderate,Peaceful,With Caution,75,8.0,Herbivore,Moderate,Venomous Spines
Slate Pencil Urchin,Heterocentrotus mammillatus,Sea Urchin,Echinometridae,Moderate,Peaceful,With Caution,100,14.0,Herbivore,Moderate,May Dislodge Rockwork
Red Pencil Urchin,Eucidaris tribuloides,Sea Urchin,Cidaridae,Moderate,Peaceful,With Caution,75,6.0,Omnivore,Moderate,May Consume Coralline
Collector Pencil Urchin,Phyllacanthus imperialis,Sea Urchin,Cidaridae,Moderate,Peaceful,With Caution,100,10.0,Omnivore,Moderate,Stable Rockwork
Banded Coral Shrimp,Stenopus zanzibaricus,Shrimp,Stenopodidae,Moderate,Semi-Aggressive,With Caution,30,4.0,Carnivore,Moderate,Caves
Golden Coral Banded Shrimp,Stenopus scutellatus,Shrimp,Stenopodidae,Moderate,Semi-Aggressive,With Caution,30,4.0,Carnivore,Moderate,Caves
Hingebeak Shrimp,Rhynchocinetes uritai,Shrimp,Rhynchocinetidae,Easy,Peaceful,With Caution,20,2.0,Omnivore,Moderate,May Pick Corals
Partner Shrimp,Periclimenes yucatanicus,Shrimp,Palaemonidae,Easy,Peaceful,Yes,20,2.0,Omnivore,Low,Host Anemones
Glass Anemone Shrimp,Periclimenes brevicarpalis,Shrimp,Palaemonidae,Moderate,Peaceful,Yes,20,2.0,Omnivore,Low,Host Anemones
Red Banded Trochus,Trochus maculatus,Snail,Trochidae,Easy,Peaceful,Yes,10,2.0,Herbivore,Moderate,Algae Grazer
Zig-Zag Periwinkle,Littoraria scabra,Snail,Littorinidae,Easy,Peaceful,Yes,10,1.0,Herbivore,Moderate,Algae Grazer
Strawberry Conch,Conomurex luhuanus,Snail,Strombidae,Easy,Peaceful,Yes,30,3.0,Detritivore,Moderate,Sand Bed
Horse Conch,Pleuroploca gigantea,Snail,Fasciolariidae,Moderate,Aggressive,No,125,24.0,Carnivore,Moderate,Predatory Species
Knobby Sea Star,Protoreaster linckii,Sea Star,Oreasteridae,Easy,Peaceful,With Caution,100,12.0,Omnivore,Low,Not Reef Safe
Cushion Sea Star,Culcita novaeguineae,Sea Star,Oreasteridae,Moderate,Peaceful,With Caution,125,20.0,Omnivore,Low,May Consume Corals
White Sea Urchin,Tripneustes depressus,Sea Urchin,Toxopneustidae,Moderate,Peaceful,Yes,50,5.0,Herbivore,Moderate,Algae Grazer
Variegated Urchin,Lytechinus pictus,Sea Urchin,Toxopneustidae,Moderate,Peaceful,Yes,40,4.0,Herbivore,Moderate,Stable Rockwork
Crown Sea Urchin,Astropyga radiata,Sea Urchin,Diadematidae,Moderate,Peaceful,With Caution,100,10.0,Herbivore,Moderate,Venomous Spines
Red Knob Sea Star,Protoreaster nodosus,Sea Star,Oreasteridae,Easy,Peaceful,With Caution,75,12.0,Omnivore,Low,May Consume Sessile Inverts
Orange Fromia Sea Star,Fromia indica,Sea Star,Goniasteridae,Moderate,Peaceful,Yes,75,5.0,Detritivore,Low,Mature Live Rock
Tile Sea Star,Fromia elegans,Sea Star,Goniasteridae,Moderate,Peaceful,Yes,75,6.0,Detritivore,Low,Mature Reef System
Burgundy Brittle Star,Ophiomyxa australis,Brittle Star,Ophiomyxidae,Easy,Peaceful,Yes,30,10.0,Omnivore,Nocturnal,Hiding Places
Spiny Brittle Star,Ophiothrix suensonii,Brittle Star,Ophiotrichidae,Easy,Peaceful,Yes,20,8.0,Omnivore,Nocturnal,Live Rock Habitat
Micro Brittle Star,Ophiocnida spp.,Brittle Star,Amphiuridae,Easy,Peaceful,Yes,10,2.0,Detritivore,Nocturnal,Refugium Friendly
Red Reef Hermit Crab,Paguristes erythrops,Hermit Crab,Diogenidae,Easy,Peaceful,Yes,10,2.0,Omnivore,Moderate,Extra Shells
Thin Stripe Hermit Crab,Clibanarius vittatus,Hermit Crab,Diogenidae,Easy,Peaceful,With Caution,20,2.0,Omnivore,Moderate,Extra Shells
Dwarf Zebra Hermit Crab,Calcinus seurati,Hermit Crab,Diogenidae,Easy,Peaceful,With Caution,10,1.5,Omnivore,Moderate,Extra Shells
Electric Reef Lobster,Enoplometopus antillensis,Lobster,Enoplometopidae,Moderate,Semi-Aggressive,With Caution,50,6.0,Carnivore,Nocturnal,Caves
Hairy Squat Lobster,Lauriea siagiani,Lobster,Galatheidae,Moderate,Peaceful,Yes,20,2.0,Omnivore,Low,Rock Crevices
Blue Sponge Crab,Dromia personata,Crab,Dromiidae,Moderate,Peaceful,With Caution,30,4.0,Omnivore,Low,Camouflages With Sponges
Anemone Carrying Crab,Lybia leptochelis,Crab,Xanthidae,Easy,Peaceful,Yes,10,1.5,Omnivore,Low,Anemone Symbiosis
Tiger Prawn Shrimp,Marsupenaeus japonicus,Shrimp,Penaeidae,Moderate,Peaceful,With Caution,50,8.0,Omnivore,Moderate,Secure Lid Recommended
Green Lace Mantis Shrimp,Gonodactylus smithii,Mantis Shrimp,Gonodactylidae,Difficult,Aggressive,No,30,4.0,Carnivore,High,Species-Only Tank
Peacock Mantis Shrimp,Odontodactylus scyllarus,Mantis Shrimp,Odontodactylidae,Difficult,Aggressive,No,40,7.0,Carnivore,High,Species-Only Tank
Caribbean King Crab,Maguimithrax spinosissimus,Crab,Majidae,Moderate,Semi-Aggressive,With Caution,125,18.0,Omnivore,Moderate,Large Aquarium
Blue Leg Hermit Crab,Clibanarius tricolor,Hermit Crab,Diogenidae,Easy,Peaceful,Yes,10,1,Omnivore,Moderate,None
